ID	NOUN	ADP	VERB	AUX	PRON	PROPN	PART	DET	ADJ	SCONJ	PUNCT	CCONJ	NUM	ADV	INTJ	X	words	label	sentence_org	sentence	sentence_wo_emo	pos
1	4	1	4	5	4	1	0	0	0	0	0	0	0	0	0	0	19	1	लोग वतन तक खा जाते हैं इसका इसे यकीन नहींमान जाएगा तू ले जाकर दिल्ली इसे दिखा ला दोस्त	लोग वतन तक खा जाते हैं इसका इसे यकीन नहींमान जाएगा तू ले जाकर दिल्ली इसे दिखा ला दोस्त	लोग वतन तक खा जाते हैं इसका इसे यकीन नहींमान जाएगा तू ले जाकर दिल्ली इसे दिखा ला दोस्त	NOUN, NOUN, ADP, VERB, AUX, AUX, PRON, PRON, NOUN, VERB, AUX, PRON, VERB, AUX, PROPN, PRON, VERB, AUX, NOUN
5	3	0	4	4	1	1	1	1	2	1	1	0	0	0	0	0	19	1	अंग्रेजी नहीं आती है इसलिए हिन्दी ट्विट ज्यादा करता हूँ निजी राय बुरा लगे तो भाड़ मे जा |	अंग्रेजी नहीं आती है इसलिए हिन्दी ट्विट ज्यादा करता हूँ निजी राय बुरा लगे तो भाड़ मे जा |	अंग्रेजी नहीं आती है इसलिए हिन्दी ट्विट ज्यादा करता हूँ निजी राय बुरा लगे तो भाड़ मे जा |	PROPN, PART, VERB, AUX, PRON, NOUN, NOUN, DET, VERB, AUX, ADJ, NOUN, ADJ, VERB, SCONJ, VERB, AUX, AUX, PUNCT
12	5	3	2	2	0	5	1	0	0	2	1	2	1	0	0	0	24	1	अगर मुलायम और अखिलेश चाहें तो up में एक दंगा और करवा के बिल महेंद्र सिंह धोनी के नाम पे फाड़ सकते हैं #indvseng	अगर मुलायम और अखिलेश चाहें तो up में एक दंगा और करवा के बिल महेंद्र सिंह धोनी के नाम पे फाड़ सकते हैं indvseng	अगर मुलायम और अखिलेश चाहें तो up में एक दंगा और करवा के बिल महेंद्र सिंह धोनी के नाम पे फाड़ सकते हैं indvseng	SCONJ, PROPN, CCONJ, PROPN, VERB, SCONJ, NOUN, ADP, NUM, NOUN, CCONJ, NOUN, ADP, NOUN, PROPN, PROPN, PROPN, ADP, NOUN, PART, VERB, AUX, AUX, PUNCT
13	6	4	4	2	2	2	0	0	2	0	0	0	0	0	0	0	22	1	जब तन्हा रातो में मोगैम्बो चिलाता है की मोगैम्बो खुश हुवा तो समझिये की मनमोहन सरकार के बुरे सपने याद आ गये	जब तन्हा रातो में मोगैम्बो चिलाता है की मोगैम्बो खुश हुवा तो समझिये की मनमोहन सरकार के बुरे सपने याद आ गये	जब तन्हा रातो में मोगैम्बो चिलाता है की मोगैम्बो खुश हुवा तो समझिये की मनमोहन सरकार के बुरे सपने याद आ गये	PRON, NOUN, NOUN, ADP, PROPN, VERB, AUX, ADP, NOUN, ADJ, VERB, PRON, VERB, ADP, PROPN, NOUN, ADP, ADJ, NOUN, NOUN, VERB, AUX
26	3	4	3	1	3	1	0	0	0	0	1	0	0	0	0	0	16	1	खुदा को भूल उन्हीं के आगे दामन फैलाया जिनके मरने की दुआएं मांगी थी खुदा से	खुदा को भूल उन्हीं के आगे दामन फैलाया जिनके मरने की दुआएं मांगी थी खुदा से	खुदा को भूल उन्हीं के आगे दामन फैलाया जिनके मरने की दुआएं मांगी थी खुदा से	PROPN, ADP, NOUN, PRON, ADP, ADP, NOUN, VERB, PRON, VERB, ADP, NOUN, VERB, AUX, PRON, PUNCT
41	4	5	4	3	1	2	0	1	1	0	0	1	0	0	0	0	22	1	शाहरुख़ ने 50 के नजदीक पहुँच के ऐसी बॉडी बना ली और यहाँ साला भरी जवानी में गर्भवती बनके घूम रहे हैं	शाहरुख़ ने 50 के नजदीक पहुँच के ऐसी बॉडी बना ली और यहाँ साला भरी जवानी में गर्भवती बनके घूम रहे हैं	शाहरुख़ ने 50 के नजदीक पहुँच के ऐसी बॉडी बना ली और यहाँ साला भरी जवानी में गर्भवती बनके घूम रहे हैं	PROPN, ADP, PROPN, ADP, ADP, NOUN, ADP, DET, NOUN, VERB, AUX, CCONJ, PRON, NOUN, VERB, NOUN, ADP, ADJ, VERB, VERB, AUX, AUX
50	7	4	4	4	2	1	2	2	1	0	0	2	2	1	0	0	32	1	और द्रविड़ की हालत इस समय उस ईमानदार बाप की तरह हो रही होगी जिसने जीते जी ऊपर से एक रूपया नहीं बनाया और एक दिन उसकी औलाद अफीम बेचते पकडी गई	और द्रविड़ की हालत इस समय उस ईमानदार बाप की तरह हो रही होगी जिसने जीते जी ऊपर से एक रूपया नहीं बनाया और एक दिन उसकी औलाद अफीम बेचते पकडी गई	और द्रविड़ की हालत इस समय उस ईमानदार बाप की तरह हो रही होगी जिसने जीते जी ऊपर से एक रूपया नहीं बनाया और एक दिन उसकी औलाद अफीम बेचते पकडी गई	CCONJ, PROPN, ADP, NOUN, DET, NOUN, DET, ADJ, NOUN, ADP, ADP, VERB, AUX, AUX, PRON, VERB, PART, ADV, ADP, NUM, NOUN, PART, VERB, CCONJ, NUM, NOUN, PRON, NOUN, NOUN, VERB, AUX, AUX
51	5	3	3	2	4	1	1	0	2	2	0	0	0	0	0	0	23	1	omg 😳 ये है इस्लामी साँप मदरसों मे पढ़े हुए सपोले अगर मदरसे बंद नही हुए तो भारत मे आप के साथ यही होगा	omg 😳 ये है इस्लामी साँप मदरसों मे पढ़े हुए सपोले अगर मदरसे बंद नही हुए तो भारत मे आप के साथ यही होगा	omg ये है इस्लामी साँप मदरसों मे पढ़े हुए सपोले अगर मदरसे बंद नही हुए तो भारत मे आप के साथ यही होगा	NOUN, PRON, AUX, ADJ, NOUN, NOUN, ADP, VERB, AUX, NOUN, SCONJ, NOUN, ADJ, PART, VERB, SCONJ, PROPN, PRON, PRON, ADP, ADP, PRON, VERB
57	9	8	3	0	1	1	1	1	1	0	0	0	0	0	0	0	25	1	देश को नमक खिलानेवाले टाटा का कुछ पता नही चलता प्राक्रतिक आपदा के समय बाकी के समय देशप्रेम का ढोल पिट के अपनी तिजोरी भरेंगे	देश को नमक खिलानेवाले टाटा का कुछ पता नही चलता प्राक्रतिक आपदा के समय बाकी के समय देशप्रेम का ढोल पिट के अपनी तिजोरी भरेंगे	देश को नमक खिलानेवाले टाटा का कुछ पता नही चलता प्राक्रतिक आपदा के समय बाकी के समय देशप्रेम का ढोल पिट के अपनी तिजोरी भरेंगे	NOUN, ADP, NOUN, VERB, PROPN, ADP, DET, NOUN, PART, VERB, ADJ, NOUN, ADP, ADP, NOUN, ADP, ADP, NOUN, ADP, NOUN, NOUN, ADP, PRON, NOUN, VERB
60	4	0	3	0	0	0	0	1	2	0	0	0	0	0	0	0	10	1	#meherbaan ऐसे उबाऊ सोंग बनाकर हमपर मेहरबानी करे धन्यवाद #bangbang	meherbaan ऐसे उबाऊ सोंग बनाकर हमपर मेहरबानी करे धन्यवाद bangbang	meherbaan ऐसे उबाऊ सोंग बनाकर हमपर मेहरबानी करे धन्यवाद bangbang	NOUN, DET, ADJ, NOUN, VERB, ADJ, NOUN, VERB, NOUN, VERB
