ID	label	sentence	sentence_org	sentence_wo_emo
1	1	लोग वतन तक खा जाते हैं इसका इसे यकीन नहींमान जाएगा तू ले जाकर दिल्ली इसे दिखा ला दोस्त	लोग वतन तक खा जाते हैं इसका इसे यकीन नहींमान जाएगा तू ले जाकर दिल्ली इसे दिखा ला दोस्त	लोग वतन तक खा जाते हैं इसका इसे यकीन नहींमान जाएगा तू ले जाकर दिल्ली इसे दिखा ला दोस्त
5	1	अंग्रेजी नहीं आती है इसलिए हिन्दी ट्विट ज्यादा करता हूँ निजी राय बुरा लगे तो भाड़ मे जा |	अंग्रेजी नहीं आती है इसलिए हिन्दी ट्विट ज्यादा करता हूँ निजी राय बुरा लगे तो भाड़ मे जा |	अंग्रेजी नहीं आती है इसलिए हिन्दी ट्विट ज्यादा करता हूँ निजी राय बुरा लगे तो भाड़ मे जा |
12	1	अगर मुलायम और अखिलेश चाहें तो up में एक दंगा और करवा के बिल महेंद्र सिंह धोनी के नाम पे फाड़ सकते हैं indvseng	अगर मुलायम और अखिलेश चाहें तो up में एक दंगा और करवा के बिल महेंद्र सिंह धोनी के नाम पे फाड़ सकते हैं #indvseng	अगर मुलायम और अखिलेश चाहें तो up में एक दंगा और करवा के बिल महेंद्र सिंह धोनी के नाम पे फाड़ सकते हैं indvseng
13	1	जब तन्हा रातो में मोगैम्बो चिलाता है की मोगैम्बो खुश हुवा तो समझिये की मनमोहन सरकार के बुरे सपने याद आ गये	जब तन्हा रातो में मोगैम्बो चिलाता है की मोगैम्बो खुश हुवा तो समझिये की मनमोहन सरकार के बुरे सपने याद आ गये	जब तन्हा रातो में मोगैम्बो चिलाता है की मोगैम्बो खुश हुवा तो समझिये की मनमोहन सरकार के बुरे सपने याद आ गये
26	1	खुदा को भूल उन्हीं के आगे दामन फैलाया जिनके मरने की दुआएं मांगी थी खुदा से	खुदा को भूल उन्हीं के आगे दामन फैलाया जिनके मरने की दुआएं मांगी थी खुदा से	खुदा को भूल उन्हीं के आगे दामन फैलाया जिनके मरने की दुआएं मांगी थी खुदा से
41	1	शाहरुख़ ने 50 के नजदीक पहुँच के ऐसी बॉडी बना ली और यहाँ साला भरी जवानी में गर्भवती बनके घूम रहे हैं	शाहरुख़ ने 50 के नजदीक पहुँच के ऐसी बॉडी बना ली और यहाँ साला भरी जवानी में गर्भवती बनके घूम रहे हैं	शाहरुख़ ने 50 के नजदीक पहुँच के ऐसी बॉडी बना ली और यहाँ साला भरी जवानी में गर्भवती बनके घूम रहे हैं
50	1	और द्रविड़ की हालत इस समय उस ईमानदार बाप की तरह हो रही होगी जिसने जीते जी ऊपर से एक रूपया नहीं बनाया और एक दिन उसकी औलाद अफीम बेचते पकडी गई	और द्रविड़ की हालत इस समय उस ईमानदार बाप की तरह हो रही होगी जिसने जीते जी ऊपर से एक रूपया नहीं बनाया और एक दिन उसकी औलाद अफीम बेचते पकडी गई	और द्रविड़ की हालत इस समय उस ईमानदार बाप की तरह हो रही होगी जिसने जीते जी ऊपर से एक रूपया नहीं बनाया और एक दिन उसकी औलाद अफीम बेचते पकडी गई
51	1	omg 😳 ये है इस्लामी साँप मदरसों मे पढ़े हुए सपोले अगर मदरसे बंद नही हुए तो भारत मे आप के साथ यही होगा	omg 😳 ये है इस्लामी साँप मदरसों मे पढ़े हुए सपोले अगर मदरसे बंद नही हुए तो भारत मे आप के साथ यही होगा	omg ये है इस्लामी साँप मदरसों मे पढ़े हुए सपोले अगर मदरसे बंद नही हुए तो भारत मे आप के साथ यही होगा
57	1	देश को नमक खिलानेवाले टाटा का कुछ पता नही चलता प्राक्रतिक आपदा के समय बाकी के समय देशप्रेम का ढोल पिट के अपनी तिजोरी भरेंगे	देश को नमक खिलानेवाले टाटा का कुछ पता नही चलता प्राक्रतिक आपदा के समय बाकी के समय देशप्रेम का ढोल पिट के अपनी तिजोरी भरेंगे	देश को नमक खिलानेवाले टाटा का कुछ पता नही चलता प्राक्रतिक आपदा के समय बाकी के समय देशप्रेम का ढोल पिट के अपनी तिजोरी भरेंगे
60	1	meherbaan ऐसे उबाऊ सोंग बनाकर हमपर मेहरबानी करे धन्यवाद bangbang	#meherbaan ऐसे उबाऊ सोंग बनाकर हमपर मेहरबानी करे धन्यवाद #bangbang	meherbaan ऐसे उबाऊ सोंग बनाकर हमपर मेहरबानी करे धन्यवाद bangbang
